"","name","religion","geometry"
"187","Dar al-Islam Foundation","muslim",c(-0.217036630294058, 51.5535636673899)
"188","Brick Lane Jamme Masjid","muslim",c(-0.0720246306883697, 51.5193760367789)
"189","Quwwat ul Islam Masjid","muslim",c(0.025724103264469, 51.5444340601039)
"190","Imamia Mission London","muslim",c(0.0286417986356564, 51.5464694186758)
"191","Forest Gate Mosque","muslim",c(0.0347948167267255, 51.5477664603378)
"192","Islamic Centre","muslim",c(-0.134462612840138, 51.5133127049657)
"193","Sutton Central Masjid","muslim",c(-0.188316908881538, 51.3624352473511)
"194","North London Mosque","muslim",c(-0.0687606896888835, 51.5649014410488)
"195","Harrow Central Mosque","muslim",c(-0.332199051272526, 51.5890856584711)
"196","Redcoat Community Centre and Mosque","muslim",c(-0.0484288749784446, 51.5166130634184)
"197","Dar al Aloom Qadmia Jilamia","muslim",c(-0.0145592969352814, 51.5837832282965)
"198","Masjid Abu Bakr","muslim",c(-0.0274766207027173, 51.5848787532046)
"199","Sakina Trust Centre","muslim",c(-0.0131200845180379, 51.5829882192367)
"200","North Finchley Mosque","muslim",c(-0.176114457405005, 51.611444461519)
"201","Faizan-e-Islam Centre","muslim",c(-0.00365776028492882, 51.590089890509)
"202","Shoreditch Masjid Trust","muslim",c(-0.0747717819789123, 51.524559092053)
"203","Baitan Subhan Mosque","muslim",c(-0.103729817054213, 51.3839813019352)
"204","Masjid Imam Ali","muslim",c(-0.319510554903402, 51.5571072043412)
"205","Al-Risaalah Mosque & Islington Islamic Centre","muslim",c(-0.120260728574211, 51.5575521600358)
"206","Ahmadiyya Muslim Ahmadiyya Muslim Community","muslim",c(-0.373019234546666, 51.510035090688)
"207","Jalalia Jamme Masjeed","muslim",c(-0.047122699852916, 51.6459732438572)
"208","East London Mosque","muslim",c(-0.065324273799399, 51.5173653238148)
"209","Masjid Salahuddin","muslim",c(-0.171533876481886, 51.5163079282729)
"210","Croydon Mosque & Islamic Centre","muslim",c(-0.112635131659479, 51.3894755119765)
"211","Al-Karam Mosque","muslim",c(0.0366919027029087, 51.5425032788949)
"212","Masjid Stratford","muslim",c(0.00159021636680935, 51.5491773965941)
"213","Holloway Mosque","muslim",c(-0.109839131765022, 51.5509745373054)
"214","London Islamic Turkish Association","muslim",c(-0.0866043816890795, 51.5527184303517)
"215","Shahjalal Centre","muslim",c(-0.0408491228529225, 51.5200446970294)
"216","Markazul Uloom","muslim",c(-0.0740146386292291, 51.5498759917495)
"217","Suleymaniye Mosque","muslim",c(-0.0763678410624038, 51.5352658484754)
"218","West London Islamic Centre & Greenford Mosque","muslim",c(-0.351916016935803, 51.5268962926931)
"219","Jamia Masjid UKIM","muslim",c(-0.326113551703001, 51.5103767674449)
"220","Masjid e Yusuf","muslim",c(-0.120715516659827, 51.5659076518344)
"221","Central Jamia Mosque","muslim",c(-0.384783307241657, 51.4992955522623)
"222","North London Diyanet Cami","muslim",c(-0.117457476648615, 51.5880069112627)
"223","Al-Muntada Al-Islami Trust","muslim",c(-0.201739367522816, 51.4765309445965)
"224","The London Mosque","muslim",c(-0.207356831295159, 51.4511566613169)
"225","Poplar Shahjalal Mosque","muslim",c(-0.0173975357178636, 51.5094833611688)
"226","Poplar Mosque & Community Centre","muslim",c(-0.00974058405805912, 51.5109926362075)
"227","Aziziye Mosque and Community Centre","muslim",c(-0.0750780939423268, 51.5553657213807)
"228","Darul Ummah Mosque","muslim",c(-0.0581905400363761, 51.5124128955237)
"229","Burdett Estate Mosque","muslim",c(-0.0265195380806733, 51.5170879893312)
"230","Masjid Tawhid","muslim",c(-0.00458831355933875, 51.5531275152391)
"231","Khidmah Academy","muslim",c(0.0107640626650677, 51.5408505880442)
"232","Masjid Abu Bakar","muslim",c(0.177307679787644, 51.4529497338119)
"233","Lansbury Mosque","muslim",c(-0.0181708696275983, 51.5152425883892)
"234","Chingford Islamic and Cultural Centre","muslim",c(-0.0176440075149797, 51.6110436856117)
"235","Lea Bridge Road Mosque","muslim",c(-0.0215229384813364, 51.5718798062423)
"236","Menzil Trust Masjid","muslim",c(-0.00990698406680735, 51.5661336597596)
"237","Cann Hall Masjid","muslim",c(0.0112744273027044, 51.5551622491735)
"238","Masjid Uthman","muslim",c(-0.0731449729438088, 51.3979837327619)
"239","Masjid Khalil","muslim",c(-0.194027832889257, 51.5229677103415)
"240","Islamic Universal Association","muslim",c(-0.211888841913794, 51.5089771047272)
"241","Lewisham Islamic Centre","muslim",c(-0.0162645421746143, 51.4518180285265)
"242","Dagenham Aishah Islamic Centre","muslim",c(0.143700351393158, 51.5673587210224)
"243","Minhaj Ul Quran Centre","muslim",c(0.02486166869641, 51.546020554161)
"244","Hyderi Islamic Centre","muslim",c(-0.136543964867213, 51.4201610527848)
