"","name","type","geometry"
"205","Museum: Ford Heritage Centre","museum",c(0.150857359324284, 51.5208964542179)
"206","Museum: Dr. Johnsons House","museum",c(-0.108163534289785, 51.5150402463543)
"207","Museum: Eastbury Manor House","museum",c(0.0994302153965451, 51.5343159878804)
"208","Museum: Black Cultural Archive","museum",c(-0.114637339326333, 51.4604961127281)
"209","Museum: Carlyle's House","museum",c(-0.169789733254268, 51.4841125294304)
"210","Theatre: Questors Theatre","theatre",c(-0.3095337, 51.5116172)
"211","Theatre: Charles Cryer Studio Theatre","theatre",c(-0.159608, 51.3659217)
"212","Theatre: Theatre 62","theatre",c(-0.0105443, 51.3728529)
"213","Theatre: Greenwich Theatre","theatre",c(-0.0076598, 51.4792552)
"214","Theatre: Piccadilly Comedy Club","theatre",c(-0.131926, 51.509736)
"215","Theatre: The Tabard Theatre","theatre",c(-0.2548747, 51.4956267)
"216","Theatre: Exit after performances","theatre",c(-0.1556237, 51.5282149)
"217","Theatre: White Bear Theatre Pub","theatre",c(-0.1077974, 51.4867554)
"218","Theatre: King's Head","theatre",c(-0.1025991, 51.5383261)
"219","Theatre: Almeida Theatre","theatre",c(-0.1030764, 51.5394403)
"220","Theatre: Lyric Hammersmith","theatre",c(-0.2264834, 51.4930429)
"221","Theatre: Shaw Theatre","theatre",c(-0.1281323, 51.5288526)
"222","Theatre: The Courtyard","theatre",c(-0.0833863, 51.5279838)
"223","Theatre: Winston Churchilll Hall","theatre",c(-0.4285715, 51.5789947)
"224","Theatre: Charing Cross Theatre","theatre",c(-0.1243661, 51.5076633)
"225","Theatre: Tramshed Theatre","theatre",c(0.0680071, 51.4894756)
"226","Theatre: The Churchill","theatre",c(0.0143007, 51.4035538)
"227","Theatre: Young Actors Theatre","theatre",c(-0.1106175, 51.5361068)
"228","Theatre: Southwark Playhouse","theatre",c(-0.0983738, 51.4975801)
"229","Theatre: Harrow Arts Centre","theatre",c(-0.363693, 51.6084242)
"230","Theatre: Erith Playhouse","theatre",c(0.1813993, 51.4811331)
"231","Theatre: The Crypt","theatre",c(-0.105511, 51.523472)
"232","Theatre: The Broadway Theatre, Barking","theatre",c(0.0772176, 51.5359833)
"233","Theatre: Opera Holland Park","theatre",c(-0.2021397, 51.5023041)
"234","Theatre: Little Angel Theatre","theatre",c(-0.1013532, 51.5388222)
"235","Theatre: Stage Door","theatre",c(-0.1233771, 51.5129319)
"236","Theatre: Stage door","theatre",c(-0.1256755, 51.5101392)
"237","Theatre: The Gate Theatre","theatre",c(-0.1975204, 51.5094873)
"238","Theatre: Lion and Unicorn","theatre",c(-0.138966, 51.5480797)
"239","Theatre: The Bull - Susi Earnshaw Theatre School","theatre",c(-0.2000502, 51.6532227)
"240","Theatre: George Wood Theatre","theatre",c(-0.0367589, 51.4741461)
"241","Theatre: Pentameter's theatre","theatre",c(-0.1783675, 51.55596)
"242","Theatre: The Hideaway","theatre",c(-0.1304202, 51.4266863)
"243","Theatre: BAC - Battersea Arts Center","theatre",c(-0.1607466, 51.4648439)
"244","Theatre: Edward Alderton Theatre","theatre",c(0.1255799, 51.4609725)
"245","Theatre: Tara Arts","theatre",c(-0.188394, 51.4422042)
"246","Theatre: Lanterns Studio Theatre","theatre",c(-0.0186234, 51.4987091)
"247","Theatre: The Front Room","theatre",c(-0.0980063, 51.3731874)
"248","Theatre: Comedy Store","theatre",c(-0.1322569, 51.5101213)
"249","Theatre: Park Theatre","theatre",c(-0.10849, 51.5656824)
"250","Theatre: Dugdale Theatre","theatre",c(-0.0804658, 51.6505092)
"251","Theatre: The Mary Wallace Theatre","theatre",c(-0.3256245, 51.4464626)
"252","Theatre: Performance Centre","theatre",c(-0.2774786, 51.5096041)
"253","Theatre: Stockwell Playhouse","theatre",c(-0.131706, 51.475532)
"254","Theatre: Above The Stag Theatre","theatre",c(-0.122773, 51.487563)
"255","Theatre: Brockley Jack Theatre","theatre",c(-0.038386, 51.4534948)
"256","Theatre: Stage Door Gate","theatre",c(-0.1542579, 51.5289827)
"257","Theatre: Bridge House Theatre","theatre",c(-0.0604394, 51.4180693)
"258","Theatre: School entrance","theatre",c(-0.1282941, 51.5276973)
"259","Theatre: Waterloo East Theatre","theatre",c(-0.1086708, 51.5043091)
"260","Theatre: Tristan Bates Theatre","theatre",c(-0.1282099, 51.5133771)
"261","Theatre: Leicester Square Theatre","theatre",c(-0.1300926, 51.5113093)
"262","Theatre: The Broadway","theatre",c(0.0777824, 51.5355012)
"263","Theatre: Upstairs at the Gatehouse","theatre",c(-0.1499456, 51.5713837)
"264","Theatre: Dominion Theatre Stage Door","theatre",c(-0.1291722, 51.5168962)
"265","Theatre: Shepherd's Bush Library","theatre",c(-0.2260467, 51.5052926)
"266","Theatre: Donmar Warehouse","theatre",c(-0.1257733, 51.5139417)
"267","Theatre: New Wimbledon Studio","theatre",c(-0.2012016, 51.4192858)
"268","Theatre: Alexandra Palace Theatre","theatre",c(-0.1312121, 51.5945562)
"269","Theatre: Union Theatre","theatre",c(-0.1018429, 51.5033895)
"270","Theatre: Cervantes Theatre","theatre",c(-0.1017357, 51.5030722)
"271","Theatre: The Vaults (Launcelot St.)","theatre",c(-0.1130044, 51.5011529)
"272","Theatre: The Bunker Theatre","theatre",c(-0.0946274, 51.5046283)
"273","Theatre: Dorfman Theatre","theatre",c(-0.1132985, 51.5070769)
"274","Theatre: Finborough Theatre","theatre",c(-0.1900602, 51.4865378)
"275","Theatre: Lyttelton Theatre","theatre",c(-0.1144341, 51.5069667)
"276","Theatre: Olivier Theatre","theatre",c(-0.1139996, 51.507314)
"277","Theatre: Barbican Hall","theatre",c(-0.093748, 51.5202044)
"278","Theatre: Barbican Theatre","theatre",c(-0.0929942, 51.5198304)
"279","Theatre: Bridge Theatre","theatre",c(-0.0773186, 51.5040964)
"280","Theatre: Hackney showroom","theatre",c(-0.0675458, 51.5547769)
"281","Theatre: Brookside Theatre","theatre",c(0.1852666, 51.5761239)
"282","Theatre: London Casino Stage Entrance","theatre",c(-0.1313453, 51.513542)
"283","Theatre: Theatre Delicatessen - Deli Studios","theatre",c(-0.0850741, 51.5198984)
"284","Theatre: The Space","theatre",c(-0.0242259, 51.4921549)
"285","Theatre: CLF Theatre","theatre",c(-0.0676429, 51.4698695)
"286","Theatre: The Susie Sainsbury Theatre","theatre",c(-0.1517031, 51.5235908)
"287","Theatre: The Open Air Theatre","theatre",c(-0.0131572, 51.584545)
"288","Theatre: Streatham Space Project","theatre",c(-0.1277422, 51.4387768)
"289","Theatre: Canal Cafe Theatre","theatre",c(-0.1842895, 51.5210488)
"290","Theatre: Boulevard Theatre","theatre",c(-0.1341786, 51.5126933)
"291","Theatre: Backyard Comedy Club","theatre",c(-0.0554864, 51.5253332)
"292","Theatre: Up the Creek","theatre",c(-0.0114214, 51.4813495)
"293","Theatre: The London Improv Theatre","theatre",c(-0.1781427, 51.5459335)
"294","Theatre: Field Marshal Bernard Montgomery","theatre",c(-0.1142945, 51.4826044)
"295","Theatre: Drayton Arms Theatre","theatre",c(-0.1833764, 51.4906144)
"296","Theatre: Dr. William Hunter","theatre",c(-0.1340512, 51.5111797)
"297","Theatre: Chelsea Theatre","theatre",c(-0.1798598, 51.4816266)
"298","Theatre: Broadway Theatre","theatre",c(-0.0203433304690507, 51.445296755576)
"299","Theatre: Royal Festival Hall","theatre",c(-0.116781151328347, 51.5057630194093)
"300","Theatre: Chickenshed","theatre",c(-0.145097171095014, 51.6444049979133)
"301","Theatre: O2 Empire","theatre",c(-0.224476575663293, 51.503451992559)
"302","Theatre: The Old Vic","theatre",c(-0.109301008430321, 51.5019652717133)
"303","Theatre: Peacock Theatre","theatre",c(-0.117800448686865, 51.5143574060077)
"304","Theatre: The Scoop","theatre",c(-0.0792189167435048, 51.5050449909639)
"305","Theatre: Queen Elizabeth Hall & Purcell Room","theatre",c(-0.116238326063983, 51.5065736337286)
"306","Theatre: Fairfield Halls","theatre",c(-0.0954874298546864, 51.3722734405689)
"307","Theatre: Regent's Park Open Air Theatre","theatre",c(-0.154798385767416, 51.5284156791243)
"308","Theatre: Lyceum Theatre","theatre",c(-0.120062428055924, 51.5114953562199)
"309","Theatre: Eventim Apollo","theatre",c(-0.224401353366592, 51.4906485229011)
"310","Theatre: The Ryan Theatre","theatre",c(-0.339008439426836, 51.5732736163699)
"311","Theatre: O2 Academy Brixton","theatre",c(-0.114874796984641, 51.46558522699)
"312","Theatre: Royal Opera House","theatre",c(-0.122509075863519, 51.5128323101711)
"313","Theatre: Unicorn Theatre","theatre",c(-0.0806972386412242, 51.5039215699789)
"314","Theatre: St Martin's","theatre",c(-0.127570336182939, 51.5128915983579)
"315","Theatre: Menier Chocolate Factory","theatre",c(-0.094350644070735, 51.5045939737123)
"316","Theatre: RADA Studios","theatre",c(-0.132579945248168, 51.5207607062457)
"317","Theatre: Hackney Empire","theatre",c(-0.0557490354851233, 51.5455777022225)
"318","Theatre: London Palladium","theatre",c(-0.140125391697153, 51.5145685699807)
"319","Theatre: Theatre Peckham","theatre",c(-0.0827151634427073, 51.4744932586971)
"320","Theatre: Blue Elephant Theatre","theatre",c(-0.0983363874406589, 51.4800951953113)
"321","Theatre: Kiln Theatre","theatre",c(-0.200258761554827, 51.5431074785333)
"322","Theatre: Fortune Theatre","theatre",c(-0.120851476545252, 51.5133078951962)
"323","Theatre: Theatre Royal, Drury Lane","theatre",c(-0.120191441428137, 51.5130007984776)
"324","Theatre: Shaftesbury Theatre","theatre",c(-0.125834676767191, 51.5161276110083)
"325","Theatre: Sam Wanamaker Playhouse","theatre",c(-0.0965619858237321, 51.5079583137775)
"326","Theatre: Tower Theatre","theatre",c(-0.071988457209875, 51.5628021245325)
"327","Theatre: Cadogan Hall","theatre",c(-0.1572283603913, 51.4938019971928)
"328","Theatre: Colour House Theatre","theatre",c(-0.183398212846956, 51.4135177442263)
"329","Theatre: Riverside Studios","theatre",c(-0.227916514727917, 51.4887991500621)
"330","Theatre: Sadler's Wells","theatre",c(-0.106210578427655, 51.5295034465123)
"331","Theatre: The Vaudeville Theatre","theatre",c(-0.12256912118754, 51.5105033806297)
"332","Theatre: Playhouse Theatre","theatre",c(-0.123633622189652, 51.5069544787296)
"333","Theatre: Hampton Hill Playhouse","theatre",c(-0.355157521483311, 51.4273734080356)
"334","Theatre: London Coliseum","theatre",c(-0.12620975374983, 51.5100019910062)
"335","Theatre: Phoenix","theatre",c(-0.129357285272612, 51.5145040908136)
"336","Theatre: Victoria Palace Theatre","theatre",c(-0.14247149075286, 51.4968539722293)
"337","Theatre: Bridewell Theatre","theatre",c(-0.105067413785168, 51.5134126841283)
"338","Theatre: The Young Vic","theatre",c(-0.107335785741331, 51.5032448391505)
"339","Theatre: Bush Theatre","theatre",c(-0.226008615065391, 51.5051310179756)
"340","Theatre: Amplitheatre","theatre",c(-0.22492578125667, 51.4552764470201)
"341","Theatre: Camden People's Theatre","theatre",c(-0.138404834629814, 51.5263960170212)
"342","Theatre: Theatre Royal Stratford East","theatre",c(0.000915647756572407, 51.5425565186805)
"343","Theatre: Hampstead Theatre","theatre",c(-0.173724229583982, 51.5438063424378)
"344","Theatre: Arcola Tent","theatre",c(-0.0743196997577729, 51.5465395464751)
"345","Theatre: Wyndham's","theatre",c(-0.128044031237482, 51.5111019666396)
"346","Theatre: Trafalgar Studios","theatre",c(-0.127629123186448, 51.506568407688)
"347","Theatre: Her Majesty's Theatre","theatre",c(-0.131978540396945, 51.5081067051471)
"348","Theatre: Amphitheatre","theatre",c(0.0128568351182046, 51.4035883983149)
"349","Theatre: Noël Coward Theatre","theatre",c(-0.127430780286563, 51.5111079385952)
"350","Theatre: Royal Court Theatre","theatre",c(-0.156384984399374, 51.4925626695736)
"351","Theatre: Aldwych Theatre","theatre",c(-0.118836045956499, 51.5130341736808)
"352","Theatre: Ambassadors","theatre",c(-0.127823879800197, 51.5130281814815)
