"","name","type","geometry"
"214","Theatre: Schaubühne am Lehniner Platz","theatre",c(13.3022747, 52.4986606)
"215","Theatre: Ratibortheater","theatre",c(13.4430035, 52.4976425)
"216","Theatre: Verlängertes Wohnzimmer","theatre",c(13.4721701, 52.5142329)
"217","Theatre: Deutsche Oper Berlin","theatre",c(13.3083771, 52.5121441)
"218","Theatre: Theater an der Parkaue","theatre",c(13.4774483, 52.5169974)
"219","Theatre: Scheinbar Varieté e.V.","theatre",c(13.366735, 52.4881169)
"220","Theatre: Theater Thikwa (F40)","theatre",c(13.3883479, 52.4873738)
"221","Theatre: Komische Oper Berlin","theatre",c(13.3869856, 52.5156648)
"222","Theatre: Deutsches Theater","theatre",c(13.3819066, 52.5243546)
"223","Theatre: Kulturküche","theatre",c(13.5704821, 52.4015333)
"224","Theatre: TIK: Theater im Kino","theatre",c(13.464371, 52.5166137)
"225","Theatre: Vineta Theater","theatre",c(13.413048, 52.5583825)
"226","Theatre: Kleines Theater","theatre",c(13.3223214, 52.4733641)
"227","Theatre: Neuköllner Oper","theatre",c(13.439333, 52.4775631)
"228","Theatre: Russisches Kammertheater","theatre",c(13.4132909, 52.5398931)
"229","Theatre: Theater Rambazamba","theatre",c(13.4136365, 52.5399039)
"230","Theatre: Volksbühne im Prater","theatre",c(13.4107279, 52.5398598)
"231","Theatre: Theater im Palais","theatre",c(13.3954981, 52.5185239)
"232","Theatre: SpreeLacArt Kulturwerk Schöneweide","theatre",c(13.5130035, 52.4608983)
"233","Theatre: Vaganten Bühne","theatre",c(13.3285705, 52.5061225)
"234","Theatre: Mirakulum Puppenkomödie Berlin","theatre",c(13.398065, 52.535733)
"235","Theatre: Chamäleon","theatre",c(13.402083, 52.524042)
"236","Theatre: Renaissance-Theater Berlin","theatre",c(13.323503, 52.5103384)
"237","Theatre: Theater Coupé","theatre",c(13.3122082, 52.4894386)
"238","Theatre: BKA-Theater","theatre",c(13.3876511, 52.4937535)
"239","Theatre: Puppentheater Firlefanz","theatre",c(13.4025511, 52.5250687)
"240","Theatre: Ballhaus Naunynstraße","theatre",c(13.4213249, 52.5020031)
"241","Theatre: Hoftheater Kreuzberg","theatre",c(13.420827, 52.5016868)
"242","Theatre: AHA-Berlin e.V.","theatre",c(13.3678205, 52.4881467)
"243","Theatre: Maxim Gorki Theater - Studio","theatre",c(13.3959797, 52.5189862)
"244","Theatre: Acker Stadt Palast - Freie Bühne Mitte .eV","theatre",c(13.3965478, 52.529684)
"245","Theatre: Zimmer 16","theatre",c(13.401433, 52.5654952)
"246","Theatre: Heimathafen Neukölln","theatre",c(13.4399161, 52.4770235)
"247","Theatre: Die Stachelschweine","theatre",c(13.3374894, 52.5043712)
"248","Theatre: Theatersaal des Kulturhauses Spandau","theatre",c(13.2025072, 52.5354834)
"249","Theatre: BrotfabrikBühne","theatre",c(13.4307318, 52.5525607)
"250","Theatre: Theater Lichterfelde","theatre",c(13.2974764, 52.441939)
"251","Theatre: Hauptstadtoper","theatre",c(13.4435717, 52.5253998)
"252","Theatre: Mehringhof Theater","theatre",c(13.3882686, 52.4919181)
"253","Theatre: Theater im Nikolaiviertel","theatre",c(13.40783, 52.516541)
"254","Theatre: Bühneneingang","theatre",c(13.3292925, 52.5060802)
"255","Theatre: Zimmertheater Steglitz","theatre",c(13.3213047, 52.4667595)
"256","Theatre: Ballhaus Ost","theatre",c(13.4149784, 52.5430767)
"257","Theatre: Wohnzimmerclub","theatre",c(13.4249827, 52.4911319)
"258","Theatre: Berliner Schnauze","theatre",c(13.4508437, 52.5166443)
"259","Theatre: Zauberlounge","theatre",c(13.295502, 52.5119023)
"260","Theatre: F40 - English Theatre Berlin","theatre",c(13.3881082, 52.4873295)
"261","Theatre: Das weite Theater","theatre",c(13.4774734, 52.5165102)
"262","Theatre: Theater der kleinen Form","theatre",c(13.4487808, 52.5118136)
"263","Theatre: Theater O-TonArt","theatre",c(13.3645476, 52.4919756)
"264","Theatre: Theater o.N.","theatre",c(13.4162235, 52.5349848)
"265","Theatre: bat-Studiotheater","theatre",c(13.418434, 52.5318164)
"266","Theatre: HAU 3 (Hebbel am Ufer)","theatre",c(13.3856884, 52.497339)
