"","name","religion","geometry"
"205","Christuskirche","protestant",c(13.5242286034398, 52.463473452901)
"206","Christophoruskirche","protestant",c(13.2669355361712, 52.5414863355032)
"207","Alte Pfarrkirche Lichtenberg","protestant",c(13.479908298211, 52.5212063211242)
"208","Parochialkirche","protestant",c(13.4130138214946, 52.5170277085132)
"209","Philippus-Kirche","protestant",c(13.2735766775219, 52.5730204094146)
"210","Französische Friedrichstadtkirche","protestant",c(13.3918919919975, 52.5143676690344)
"211","Taborkirche","protestant",c(13.507661388841, 52.5487636694904)
"212","Mavuno Berlin","protestant",c(13.2840512071878, 52.4211022932762)
"213","Gnadenkirche","protestant",c(13.5554544795412, 52.5090732763001)
"214","Markuskirche","protestant",c(13.3414415778618, 52.4492880839811)
"215","Königin-Luise-Gedächtniskirche","protestant",c(13.3625109447259, 52.4835631183862)
"216","Kapelle der Versöhnung","protestant",c(13.39191172106, 52.5358061748303)
"217","Alte Pfarrkirche Alt-Pankow","protestant",c(13.4086782155425, 52.5706701360074)
"218","Bethlehemskirche","protestant",c(13.4477374685014, 52.4741498180282)
"219","Pauluskirche","protestant",c(13.2577992226086, 52.4339100891609)
"220","Reformationskirche","protestant",c(13.3290587317813, 52.5312884636532)
"221","Kirche auf dem Tempelhofer Feld","protestant",c(13.3780307801898, 52.4816540818778)
"222","Alte Dorfkirche","protestant",c(13.3831936545153, 52.4635929643162)
"223","Johann-Christoph-Blumhardt-Kirche","protestant",c(13.4354097358194, 52.4390958026511)
"224","Freie evangelische Gemeinde Tempelhof","protestant",c(13.3872453805419, 52.4596475853623)
"225","Dorfkirche Mariendorf","protestant",c(13.3871483668468, 52.4394686913642)
"226","Martin-Luther-Gedächtniskirche","protestant",c(13.3787756812817, 52.4447229765703)
"227","Evangelisch-Freikirchliche Gemeinde Berlin-Lichtenberg","protestant",c(13.5001893562945, 52.5060231251139)
"228","Glaubenskirche","protestant",c(13.3786762929221, 52.4606106087403)
"229","Kirchengemeinde Schönow-Buschgraben","protestant",c(13.2593116414517, 52.4132719114943)
"230","Pfingstkirche","protestant",c(13.4497522884817, 52.5210181071354)
"231","Kirchengemeinde Berlin Mariendorf-Süd","protestant",c(13.3960155065907, 52.4227417801319)
"232","St.-Thomas-Kirche","protestant",c(13.4265571595934, 52.5053791388536)
"233","Jesus-Christus-Kirche","protestant",c(13.2265926081851, 52.5814300847632)
"234","Offenbarungskirche","protestant",c(13.4615160054381, 52.5072275337767)
"235","Lazarus Haus","protestant",c(13.4439555837303, 52.5132876514817)
"236","Kreuzkirche","protestant",c(13.2911189178432, 52.4820923047674)
"237","Kirche Am Berl","protestant",c(13.4992437500258, 52.5747600000673)
"238","Dorfkirche Alt-Heiligensee","protestant",c(13.2129528209154, 52.6077926425218)
"239","Dorfkirche Karow","protestant",c(13.4840514977951, 52.6119178829626)
"240","Dorfkirche Blankenfelde","protestant",c(13.3896801255301, 52.6188741343953)
"241","Evangelische Kirchengemeinde Gropiusstadt Süd","protestant",c(13.4778371023248, 52.423100195533)
"242","Ev. Kirchengemeinde Waidmannslust","protestant",c(13.3133671680646, 52.6034254940896)
"243","Heilig Kreuz-Kirche","protestant",c(13.3960195122772, 52.4963961858054)
"244","Melanchthon","protestant",c(13.4136395828883, 52.4946678152322)
"245","Grunewaldkirche","protestant",c(13.2737496647852, 52.4849883841437)
"246","Dorfkirche Schmargendorf","protestant",c(13.2939893795535, 52.4738200260884)
"247","Dorfkirche Alt-Wittenau","protestant",c(13.3254426750089, 52.5922700975261)
"248","Haus der Stille","protestant",c(13.1594986065164, 52.4171257113611)
"249","Andreas-Kirche","protestant",c(13.1541791407064, 52.4251623923516)
"250","Evangelische Kirchengemeinde Berlin-Johannisthal","protestant",c(13.5029599219527, 52.4446928899677)
"251","Nathanaelkirche","protestant",c(13.3452460594998, 52.4672058280564)
"252","Evangelische Jeremia-Kirchengemeinde","protestant",c(13.1776783032887, 52.5467221747681)
"253","Freie Evangelische Gemeinde","protestant",c(13.3457135165482, 52.5326734929369)
"254","Stephanuskirche","protestant",c(13.3870209243132, 52.5587431495856)
"255","Passionskirche","protestant",c(13.3971811305783, 52.4894929036957)
"256","Tabor-Kirche","protestant",c(13.4462434531623, 52.4967241860669)
"257","Martin-Luther-Kirche","protestant",c(13.4361001625234, 52.484344359461)
"258","Kirche Staaken-Gartenstadt","protestant",c(13.1454836898405, 52.541206145538)
"259","St. Lukas-Kirche","protestant",c(13.3801771445939, 52.5051059925894)
"260","Evangelische Kirchengemeinde Am Fennpfuhl","protestant",c(13.4776273789165, 52.5290266903131)
"261","Zuversichtskirche","protestant",c(13.1497861495463, 52.5335294887558)
"262","Christuskirche Kreuzberg","protestant",c(13.3815569619468, 52.4945290768939)
"263","Evangelische Kirchengemeinde Berlin-Hellersdorf","protestant",c(13.6057106601858, 52.5287306180659)
"264","Dorfkirche Gatow","protestant",c(13.1816558747759, 52.4865176330833)
"265","Dorfkirche Rahnsdorf","protestant",c(13.6886060296582, 52.4305838878762)
"266","Dorfkirche Altstaaken","protestant",c(13.1402545803634, 52.5308863754899)
"267","Evangelisch-Freikirchliche Gemeinde Berlin-Hasenheide","protestant",c(13.4187935870517, 52.4883084736534)
"268","Danielkirche","protestant",c(13.3086903462768, 52.4942460294123)
"269","Dorfkirche Rudow","protestant",c(13.49760804468, 52.4183510201876)
"270","Dreieinigkeitskirche","protestant",c(13.4733760042831, 52.4315771504941)
"271","Vaterunser-Kirche","protestant",c(13.3213101027979, 52.4789933361224)
"272","Evangelische Kirchengemeinde Jona","protestant",c(13.3016498669215, 52.5004705738255)
"273","Eben-Ezer-Kapelle","protestant",c(13.311914864981, 52.4128540986906)
"274","Bekenntniskirche","protestant",c(13.4520233850606, 52.4893193976876)
"275","Pfarrkirche Altglienicke","protestant",c(13.5389792063739, 52.4218508996754)
"276","Kirche Berlin-Wartenberg","protestant",c(13.516107988973, 52.5679694669963)
"277","Kirche am Hohenzollernplatz","protestant",c(13.3270562966328, 52.4942184164333)
"278","Martin Luther Kapelle","protestant",c(13.5853993968594, 52.4680141695593)
"279","Werner-Sylten Kapelle","protestant",c(13.5661173516758, 52.4424962654139)
"280","Nikolai-Kapelle","protestant",c(13.5908422509365, 52.4312238424541)
"281","Nordend","protestant",c(13.3983162446371, 52.5936769169853)
"282","Ölbergkirche","protestant",c(13.42671419141, 52.4947758302609)
"283","Marthakirche","protestant",c(13.437189327013, 52.4923745075843)
"284","Evangelische Kirche Nikolassee","protestant",c(13.2032049068035, 52.4261676187578)
"285","Kirche Südende","protestant",c(13.357196528759, 52.4475513240324)
"286","Dorfkirche Alt-Buckow","protestant",c(13.4309125102838, 52.4218958172)
"287","Stephanus Kirche","protestant",c(13.2748844154069, 52.4308523893633)
"288","Heilig-Geist-Kapelle","protestant",c(13.4032183399189, 52.5207890772592)
"289","Immanuelkirche","protestant",c(13.4214547382156, 52.5331445840126)
"290","Dietrich-Bonhoeffer-Gemeinde","protestant",c(13.3426720360437, 52.4210883947951)
"291","Osterkirche","protestant",c(13.3546595249383, 52.5415396296972)
"292","Dorfkirche Heinersdorf","protestant",c(13.440752220088, 52.5671608479356)
"293","Christus-Treff Berlin-Treptow","protestant",c(13.4446250784229, 52.491355654583)
"294","Rogate-Kapelle","protestant",c(13.444736664763, 52.4912838197007)
"295","Johannes-Kirche","protestant",c(13.2920390202336, 52.6342068832928)
"296","Zufluchtskirche","protestant",c(13.1787405058436, 52.5506584713681)
"297","Jesuskirche Kaulsdorf","protestant",c(13.5808529603162, 52.5082158008322)
"298","Nikodemus-Kirche","protestant",c(13.4315327944073, 52.4898573031663)
"299","Lindenkirche","protestant",c(13.3100270803506, 52.4747978904695)
"300","Waldkapelle","protestant",c(13.72268871369, 52.4261799909109)
"301","Johanneskirche","protestant",c(13.2194746055922, 52.437663853477)
"302","Laurentiuskirche","protestant",c(13.1712649399273, 52.5172380290974)
"303","Ev. Kirchengemeidezentrum Marienfelde","protestant",c(13.350612708722, 52.4132168465572)
"304","Ev. Felsen-Kirchengemeinde","protestant",c(13.3392979563662, 52.6012425283577)
"305","Dorfkirche Alt-Kladow","protestant",c(13.1449780077078, 52.4528704952634)
